date,company,action,price,shares,value,holding_period_years
2023-09-01,Parker Agrochem Exports Ltd.,SELL,11.31,5931.198102016608,67081.85053380784,1.0
2023-09-01,Lee & Nee Softwares (Exports) Ltd.,SELL,7.94,4835.58994197292,38394.58413926499,1.0
2023-09-01,Maharashtra Scooters Ltd.,SELL,7222.65,12.040359284321045,86963.30098490139,1.0
2023-09-01,Bhartiya International Ltd.,SELL,223.15,251.25628140703517,56067.8391959799,1.0
2023-09-01,Arvee Laboratories (India) Ltd.,SELL,111.0,576.3688760806916,63976.94524495677,1.0
2023-09-01,Yash Management & Satellite Ltd.,SELL,12.55,4545.454545454545,57045.454545454544,1.0
2023-09-01,Systematix Securities Ltd.,SELL,5.6,7763.975155279502,43478.26086956521,1.0
2023-09-01,Aryan Share & Stock Brokers Ltd.,SELL,14.95,7961.783439490446,119028.66242038216,1.0
2023-09-01,Centenial Surgical Suture Ltd.,SELL,78.89,928.5051067780872,73249.7678737233,1.0
2023-09-01,Chaman Lal Setia Exports Ltd.,SELL,202.35,467.50818139317437,94600.28050490883,1.0
2023-09-01,Advance Petrochemicals Ltd.,SELL,146.0,578.7037037037037,84490.74074074074,1.0
2023-09-01,Arnold Holdings Ltd.,SELL,17.76,1771.793054571226,31467.04464918498,1.0
2023-09-01,Balmer Lawrie & Co. Ltd.,SELL,167.55,401.12314480545524,67208.18291215404,1.0
2023-09-01,Narmada Macplast Drip Irrigation Systems Ltd.,SELL,8.26,5213.764337851929,43065.69343065693,1.0
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,13020.833333333334,50000.0,
2023-09-01,Nagreeka Capital & Infrastructure Ltd.,BUY,15.64,3196.93094629156,50000.0,
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,231.3743637204998,50000.0,
2023-09-01,Liberty Shoes Ltd.,BUY,256.75,194.74196689386562,50000.0,
2023-09-01,Parker Agrochem Exports Ltd.,BUY,11.31,4420.866489832007,50000.0,
2023-09-01,Lee & Nee Softwares (Exports) Ltd.,BUY,7.94,6297.229219143576,50000.0,
2023-09-01,Bhartiya International Ltd.,BUY,223.15,224.0645305848084,50000.0,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,33.01419610432486,50000.0,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,672.8569506122998,50000.0,
2023-09-01,Centenial Surgical Suture Ltd.,BUY,78.89,633.7938902268982,50000.0,
2023-09-01,Sam Industries Ltd.,BUY,67.74,738.1163271331562,50000.0,
2023-09-01,Arnold Holdings Ltd.,BUY,17.76,2815.3153153153153,50000.0,
2023-09-01,Panasonic Energy India Co. Ltd.,BUY,339.95,147.08045300779526,50000.0,
2023-09-01,Balmer Lawrie & Co. Ltd.,BUY,167.55,298.41838257236645,50000.0,
